conceptSynonym,conceptName
정맥내점적주사-100ml∼500ml[1병또는포장단위당],Continuous Intravenous Injection- 100ml~500ml [1 BTL or per pacaking unit]
정맥내점적주사-501ml∼1000ml[1병또는포장단위당],Continuous Intravenous Injection- 501ml∼1000ml [1 BTL or per pacaking unit]
항암제주입-정맥내점적주사-100ml미만[1병또는포장단위당],Chemotherapic Administration-Intravenous - Less than 100ml [1 BTL or per pacaking unit]
항암제주입-정맥내점적주사-100ml∼500ml[1병또는포장단위당],Chemotherapic Administration-Intravenous - 100ml~500ml [1 BTL or per pacaking unit]
항암제주입-정맥내점적주사-501ml∼1000ml[1병또는포장단위당],Chemotherapic Administration-Intravenous - 501ml∼1000ml [1 BTL or per pacaking unit]
급속항온주입[1회당],Rapid and Warming infusion [per 1 time]
급속항온주입-혈액및수액제제주입료-100ml미만[1병또는포장단위당],Rapid and Warming infusion- Blood and fluid Infusion fee Infusion - Less than 100ml[1 BTL or per pacaking unit]
급속항온주입-혈액및수액제제주입료-100ml∼500ml[1병또는포장단위당],Rapid and Warming infusion- Blood and fluid Infusion fee Infusion - 100ml~500ml[1 BTL or per pacaking unit]
급속항온주입-혈액및수액제제주입료-501ml∼1000ml[1병또는포장단위당],Rapid and Warming infusion- Blood and fluid Infusion fee Infusion - 501ml∼1000ml[1 BTL or per pacaking unit]
경막외신경차단술(지속적차단)-피하터널식카테터삽입에의한방법-삽입당일[삽입료포함],Epidural Nerve Block(Continuous Block)- by Catheter Insertion through Subcutaneous Tunnel- insertion day[Including Insertion fee] 
경막외신경차단술(지속적차단)-피하터널식카테터삽입에의한방법-삽입익일이후(1일당),Epidural Nerve Block(Continuous Block)- by Catheter Insertion through Subcutaneous Tunnel- After the next day of insertion(per day)
경막외신경차단술(지속적차단)-피하매몰저장기펌프삽입술에의한방법-삽입당일[삽입료포함],Epidural Nerve Block(Continuous Block)- by Implantation of Subcutaneous Reservoir Pump- insertion day[Including Insertion fee] 
경막외신경차단술(지속적차단)-피하매몰저장기펌프삽입술에의한방법-삽입익일이후(1일당),Epidural Nerve Block(Continuous Block)- by Implantation of Subcutaneous Reservoir Pump- After the next day of insertion(per day)
경막외신경차단술(지속적차단)-기타(비터널식카테터)에의한방법-삽입당일[삽입료포함],Epidural Nerve Block(Continuous Block)- Others (non-tunneled catheter) based method- insertion day[Including Insertion fee] 
경막외신경차단술(지속적차단)-기타(비터널식카테터)에의한방법-삽입익일이후(1일당),Epidural Nerve Block(Continuous Block)- Others (non-tunneled catheter) based method- After the next day of insertion(per day)
지속적 말초신경 및 신경총 통증(자가)조절법-좌골신경-카테터삽입 당일 [카테터삽입료 포함],Continuous (Patient Controlled) analgesia of peripheral nerve or plexus-Sciatic nerve- the day of catheterization [including catheter insertion fee]
지속적 말초신경 및 신경총 통증(자가)조절법-좌골신경-익일 이후 (1일당),Continuous (Patient Controlled) analgesia of peripheral nerve or plexus-Sciatic nerve- after the next day [per day]
지속적 말초신경 및 신경총 통증(자가)조절법-대퇴신경-카테터삽입 당일 [카테터삽입료 포함],Continuous (Patient Controlled) analgesia of peripheral nerve or plexus-Femoral nerve- the day of catheterization [including catheter insertion fee]
지속적 말초신경 및 신경총 통증(자가)조절법-대퇴신경-익일 이후 (1일당),Continuous (Patient Controlled) analgesia of peripheral nerve or plexus-Femoral nerve- after the next day [per day]
지속적 말초신경 및 신경총 통증(자가)조절법-사각근간 상박신경총-카테터삽입 당일 [카테터삽입료 포함],Continuous (Patient Controlled) analgesia of peripheral nerve or plexus-Interscalene Brachial Plexus- the day of catheterization [including catheter insertion fee]
지속적 말초신경 및 신경총 통증(자가)조절법-사각근간 상박신경총-익일 이후 (1일당),Continuous (Patient Controlled) analgesia of peripheral nerve or plexus-Interscalene Brachial Plexus- after the next day [per day]
단순처치[1일당],Simple Dressing [per day]
단순처치-상급종합병원 중환자실 입원,Simple Dressing -Senior General Hospital ICU admission
단순처치-간호인력확보수준에 따른 입원환자 간호관리료 차등제 1등급 상급종합병원 입원,Simple Dressing - 1 grade of Inpatient care Nursing management Fee differentiation policy according to Nursing staffing Level Senior General Hospital admission
염증성처치[1일당],Infectious Wound Dressing [per day]
염증성처치-상급종합병원 중환자실 입원,Infectious Wound Dressing - Senior General Hospital ICU admission
염증성처치-간호인력확보수준에 따른 입원환자 간호관리료 차등제 1등급 상급종합병원 입원,Infectious Wound Dressing - 1 grade of Inpatient care Nursing Fee differentiation policy according to Nursing staffing Level  Senior General Hospital admission
흡입배농 및 배액처치-상급종합병원 중환자실 입원,Suction Drainage or Tracheostomy Suction Etc. - Senior General Hospital ICU admission
흡입배농 및 배액처치-간호인력확보수준에 따른 입원환자 간호관리료 차등제 1등급 상급종합병원 입원,Suction Drainage or Tracheostomy Suction Etc. - 1 grade of Inpatient care Nursing management Fee differentiation policy according to Nursing staffing Level Senior General Hospital admission
흡입배농 및 배액처치[1일당],Suction Drainage or Tracheostomy Suction Etc. [per day]
체위변경처치[1일당],Position Change [per day]
체위변경처치-상급종합병원 중환자실 입원,Position Change - Senior General Hospital ICU admission
체위변경처치-간호인력확보수준에 따른 입원환자 간호관리료 차등제 1등급 상급종합병원 입원,Position Change - 1 grade of Inpatient care Nursing management Fee differentiation policy according to Nursing staffing Level  Senior General Hospital admission
(상급종합병원·종합병원)고압산소요법-1시간까지,"(Senior General Hospital, General Hospital) Hyperbaric Oxygen Therapy- up to 1hour"
(상급종합병원·종합병원)고압산소요법-1시간을 초과하여 2시간까지,"(Senior General Hospital, General Hospital) Hyperbaric Oxygen Therapy- up to 2 hours in excess of 1 hour"
(상급종합병원·종합병원)고압산소요법-2시간 초과 1일당,"(Senior General Hospital, General Hospital) Hyperbaric Oxygen Therapy- over 2 hours per day"
고압산소요법-1시간까지,Hyperbaric Oxygen Therapy - up to 1hour
고압산소요법-1시간을 초과하여 2시간까지,Hyperbaric Oxygen Therapy - up to 2 hours in excess of 1 hour
고압산소요법-2시간 초과 1일당,Hyperbaric Oxygen Therapy - over 2 hours per day
(상급종합병원·종합병원)심폐소생술(15분까지),"(Senior General Hospital, General Hospital) Cardiopulmonary Resuscitation(up to 15 minutes)"
(상급종합병원·종합병원)심폐소생술(15분을초과하여30분까지),"(Senior General Hospital, General Hospital) Cardiopulmonary Resuscitation(Up to 30 minutes in excess of 15 minutes)"
(상급종합병원·종합병원)심폐소생술(30분을초과하여45분까지),"(Senior General Hospital, General Hospital) Cardiopulmonary Resuscitation(Up to 45 minutes in excess of 30 minutes)"
(상급종합병원·종합병원)심폐소생술(45분을초과하여60분까지),"(Senior General Hospital, General Hospital) Cardiopulmonary Resuscitation(Up to 60 minutes in excess of 45 minutes)"
(상급종합병원·종합병원)심폐소생술(60분초과1일당),"(Senior General Hospital, General Hospital) Cardiopulmonary Resuscitation(over 60 minutes per day)"
경피적경화술-단순천자법에의한것[두경부-낭종],Percutaneous Sclerotherapy- by Simple Puncture [Head and Neck- cyst]
경피적경화술-단순천자법에의한것[두경부-혈관기형],Percutaneous Sclerotherapy- by Simple Puncture [Head and Neck- vascular malformation]
경피적경화술-단순천자법에의한것[두경부이외-낭종],Percutaneous Sclerotherapy- by Simple Puncture [other than Head and Neck- cyst]
경피적경화술-단순천자법에의한것[두경부이외-혈관기형],Percutaneous Sclerotherapy- by Simple Puncture [other than Head and Neck- vascular malformation]
경피적경화술-카테터천자법에의한것[두경부-낭종],Percutaneous Sclerotherapy- by Catheter Puncture [Head and Neck- cyst]
경피적경화술-카테터천자법에의한것[두경부-혈관기형],Percutaneous Sclerotherapy- by Catheter Puncture [Head and Neck- vascular malformation]
경피적경화술-카테터천자법에의한것[두경부이외-낭종],Percutaneous Sclerotherapy- by Catheter Puncture [other than Head and Neck- cyst]
경피적경화술-카테터천자법에의한것[두경부이외-혈관기형],Percutaneous Sclerotherapy- by Catheter Puncture [other than Head and Neck- vascular malformation]
인공호흡[기관내삽관료 별도]-3시간까지,Artificial Ventilation[endotracheal intubation separate]- Up to 3 hours
인공호흡[기관내삽관료별도]-3시간을초과하여8시간까지,Artificial Ventilation[endotracheal intubation separate]- Up to 8 hours in excess of 3 hours
인공호흡[기관내삽관료별도]-8시간을초과하여12시간까지,Artificial Ventilation[endotracheal intubation separate]- Up to 12 hours in excess of 8 hours
심폐소생술(15분까지),Cardiopulmonary Resuscitation(up to 15 minutes)
심폐소생술(15분을초과하여30분까지),Cardiopulmonary Resuscitation(Up to 30 minutes in excess of 15 minutes)
심폐소생술(30분을초과하여45분까지),Cardiopulmonary Resuscitation(Up to 45 minutes in excess of 30 minutes)
심폐소생술(45분을초과하여60분까지),Cardiopulmonary Resuscitation(Up to 60 minutes in excess of 45 minutes)
심폐소생술(60분초과1일당),Cardiopulmonary Resuscitation(over 60 minutes per day)
선택적 두부 저체온 요법,Selective Head Hypothermia
선택적 두부 저체온 요법-처치일 다음날부터 1일당,"Selective Head Hypothermia- from next day after treatment day, per day"
경피적관상동맥스텐트삽입술(경피적관상동맥확장술및경피적관상동맥죽상반절제술과동시)-단일혈관,Percutaneous Transcatheter Placement of Intracoronary Stent(Simultaneously with percutaneous transluminal coronary angioplasty and Percutaneous Transluminal Coronary Atherectomy)- Single Vessel
경피적관상동맥스텐트삽입술(경피적관상동맥확장술및경피적관상동맥죽상반절제술과동시)-추가혈관,Percutaneous Transcatheter Placement of Intracoronary Stent(Simultaneously with percutaneous transluminal coronary angioplasty and Percutaneous Transluminal Coronary Atherectomy)- Additional Vessel
전기자극치료-마비근 치료,Electrical Stimulation Therapy- muscle paralysis therapy
전기자극치료-근력강화 치료,Electrical Stimulation Therapy- strengthening therapy
근막동통유발점주사자극치료[1일당],Myofascial Trigger Point Injection Therapy [per day]
근막동통유발점주사자극치료[1일당]-2부위이상각각실시,Myofascial Trigger Point Injection Therapy [per day]- 2 or more sites each
"피부과적자외선치료[1일당]-상지(하지의반)의대부분의범위또는두부,경부및안면의대부분의범위[9%의범위]","Dermatological Ultraviolet Ray Therapy [per day]- Most ranges of upper limbs (half of lower extremity) or Most ranges of head, neck and face [range of 9%]"
"피부과적자외선치료[1일당]-하지의1지,복부또는배부에준하는범위[18%의범위]","Dermatological Ultraviolet Ray Therapy [per day]- Range equivalent to One Lower Extremity, abdomen or back [range of 18%]"
피부과적자외선치료[1일당]-양하지또는동체(복부및배부)에준하는범위[36%의범위],Dermatological Ultraviolet Ray Therapy [per day]- Range equivalent to Both Lower Extremities or Trunk (abdomen and back)[range of 36%]
피부과적자외선치료[1일당]-전신대부분의범위[37%이상의범위],Dermatological Ultraviolet Ray Therapy [per day]- full range of Body Surface Area [more than 37% range]
"피부광화학요법[1일당]-상지(하지의반)의대부분의범위또는두부,경부및안면의대부분의범위[9%의범위]","Dermatologic Photochemotherapy [per day]- Most ranges of upper limbs (half of lower extremity) or most ranges of head, neck and face [range of 9%]"
"피부광화학요법[1일당]-하지의1지,복부또는배부에준하는범위[18%의범위]","Dermatologic Photochemotherapy [per day]- Range equivalent to One Lower Extremity, abdomen or back [range of 18%]"
피부광화학요법[1일당]-양하지또는동체(복부및배부)에준하는범위[36%범위],Dermatologic Photochemotherapy [per day]- Range equivalent to Both Lower Extremities or Trunk (abdomen and back)[range of 36%]
피부광화학요법[1일당]-전신대부분의범위[37%이상의범위],Dermatologic Photochemotherapy [per day]]- full range of Body Surface Area [more than 37% range]
투시하 이물제거술,Fluoroscopic Foreign Body Removal
투시하 이물제거술(상부소화관이물제거술의경우)[유도료별도산정],Fluoroscopic Foreign Body Removal(In case of Upper Gastrointestinal Foreign Body Removal)[guided fee separately calculated)
경피적척추후굴풍선복원술[방사선료포함]-제1부위,Percutaneous Balloon Kyphoplasty[Including Discography]- first level
경피적척추후굴풍선복원술[방사선료포함]-제2부위부터[1부위당],Percutaneous Balloon Kyphoplasty[Including Discography]- From 2nd level[per 1level]
급성화농성관절염절개술-복잡-고관절,Arthrotomy For Acute Septic Joint- complex- Hip Joint
급성화농성관절염절개술(고관절),Arthrotomy For Acute Septic Joint (Hip Joint)
십자인대성형술,Reconstruction of Cruciate Ligament
십자인대성형술-복잡,Reconstruction of Cruciate Ligament- complex
견봉성형술 및 회전근개파열복원술(근 및 건성형이 동반된 경우),Acromioplasty And Repair of Ruptured Shoulder Rotator Cuff(With Myoplasty And Tendoplasty)
견봉성형술 및 회전근개파열복원술(근 및 건성형이 동반된 경우)-복잡,Acromioplasty And Repair of Ruptured Shoulder Rotator Cuff(With Myoplasty And Tendoplasty)- complex
골격성 고정원 식립 [양측],Installation of Skeletal Anchorage[Bilateral]
골격성 고정원 식립 [편측],Installation of Skeletal Anchorage[Unilateral]
골격성 고정원 제거 [양측],Removal of Skeletal Anchorage[Bilateral]
골격성 고정원 제거 [편측],Removal of Skeletal Anchorage[Unilateral]
경추후궁성형술-제1부위,Cervical Spine Laminoplasty- first level
경추후궁성형술-제2부위부터[1부위당],Cervical Spine Laminoplasty- From 2nd level[per 1level]
유방절제술-악성-부분절제-액와림프절 청소술 포함,Mastectomy-Malignant-Partial- including Operation For Axillary Lymph Node Dissection
유방절제술-악성-부분절제-액와림프절 청소술 포함하지 않는 것,Mastectomy-Malignant-Partial- not including Operation For Axillary Lymph Node Dissection
유방절제술-악성-전체절제-액와림프절 청소술 포함,Mastectomy-Malignant-Total- including Operation For Axillary Lymph Node Dissection
유방절제술-악성-전체절제-액와림프절 청소술 포함하지 않는 것,Mastectomy-Malignant-Total- not including Operation For Axillary Lymph Node Dissection
"반흔구축성형술및식피술(운동제한이있는것)-부분층,기타,100㎠~400㎠미만","Release of Scar Contracture and Skin Graft(with Movement Restriction)- Split Thickness, others, 100㎠~400㎠ Below"
"반흔구축성형술및식피술(운동제한이있는것)-부분층,기타,400㎠~900㎠미만","Release of Scar Contracture and Skin Graft(with Movement Restriction)- Split Thickness, others, 400㎠~900㎠ Below"
"반흔구축성형술및식피술(운동제한이있는것)-부분층,기타,900㎠이상","Release of Scar Contracture and Skin Graft(with Movement Restriction)- Split Thickness, others, more than 900㎠"
개인정신치료Ⅰ(10분 이하),Indivisual Psychotherapy Ⅰ(10 minutes or less)
개인정신치료 Ⅱ (10분 초과 20분 이하),Indivisual Psychotherapy Ⅱ (over 10 minutes 20 minutes or less)
개인정신치료 Ⅲ (20분 초과 30분 이하),Indivisual Psychotherapy Ⅲ (over 20 minutes 30 minutes or less)
개인정신치료 Ⅳ (30분 초과 40분 이하),Indivisual Psychotherapy Ⅳ (over 30 minutes 40 minutes or less)
개인정신치료 Ⅴ (40분 초과),Indivisual Psychotherapy Ⅴ (over 40 minutes)
사지정맥류국소치료(경화요법)- 1~3부위,Local Resection of Varicose Vein (Sclerotherapy)- 1~3 sites
사지정맥류국소치료(경화요법)- 4~6부위,Local Resection of Varicose Vein (Sclerotherapy)- 4~6 sites
사지정맥류국소치료(경화요법)- 7부위 이상,Local Resection of Varicose Vein (Sclerotherapy)- more than 7 sites
광범위정맥류발거술[스트리핑]-복재정맥결찰및분지제거술(관통정맥결찰술을 동반한 경우),Extensive Resection of Varicose Vein[Stripping] -Saphenous Vein Ligation And Stab Avulsion of Varices (with perforating vein ligation)
광범위정맥류발거술[스트리핑]-복재정맥결찰및분지제거술(관통정맥결찰술을 동반하지 아니한 경우),Extensive Resection of Varicose Vein[Stripping] -Saphenous Vein Ligation And Stab Avulsion of Varices (without perforating vein ligation)
광범위정맥류발거술[스트리핑]-복재정맥부분발거술및분지제거술(관통정맥결찰술을 동반한 경우),Extensive Resection of Varicose Vein[Stripping] -Segmental Stripping of Saphenous Vein and Stab Abulsion of Varices (with perforating vein ligation)
광범위정맥류발거술[스트리핑]-복재정맥부분발거술및분지제거술(관통정맥결찰술을 동반하지 아니한 경우),Extensive Resection of Varicose Vein[Stripping] -Segmental Stripping of Saphenous Vein and Stab Abulsion of Varices (without perforating vein ligation)
광범위정맥류발거술[스트리핑]-복재정맥전발거술및분지제거술(관통정맥결찰술을 동반한 경우),Extensive Resection of Varicose Vein[Stripping] -Total Stripping of Saphenous Vein and Stab Abulsion of Varices (with perforating vein ligation)
광범위정맥류발거술[스트리핑]-복재정맥전발거술및분지제거술(관통정맥결찰술을 동반하지 아니한 경우),Extensive Resection of Varicose Vein[Stripping] -Total Stripping of Saphenous Vein and Stab Abulsion of Varices (without perforating vein ligation)
심실 보조장치 치료술-이식형-모니터링 및 설정-입원[1일당],Ventricular Assist Device Treatment-Implantable -Monitoring and Setting -hospitalization[per day]     
심실 보조장치 치료술-이식형-모니터링 및 설정-외래,Ventricular Assist Device Treatment-Implantable -Monitoring and Setting- ambulatory
심실 보조장치 치료술-체외형-교환술-개흉에 의한 것,Ventricular Assist Device Treatment-Extracorporeal-Replacement - by Thoracotomy
심실 보조장치 치료술-체외형-교환술-체외 펌프 교환,Ventricular Assist Device Treatment-Extracorporeal-Replacement - Extracorporeal pump replacement
심실 보조장치 치료술-체외형-관리료[1일당]-좌심실,Ventricular Assist Device Treatment-Extracorporeal-management fee[per day]- left ventricular
심실 보조장치 치료술-체외형-관리료[1일당]-양심실,Ventricular Assist Device Treatment-Extracorporeal-management fee[per day]- Biventricular
하비갑개절제술[중비갑개절제술 포함],Inferior Turbinectomy[including Middle Turbinectomy]
하비갑개절제술[중비갑개절제술 포함]-내시경하에서 실시한 경우,Inferior Turbinectomy[including Middle Turbinectomy]- Under Endoscopy
하비갑개점막하절제술[중비갑개점막하 절제술포함],Submucosal Inferior Turbinectomy[including Middle Turbinectomy]
하비갑개점막하절제술[중비갑개점막하 절제술포함]-내시경하에서 실시한 경우,Submucosal Inferior Turbinectomy[including Middle Turbinectomy]- Under Endoscopy
상악동비내수술,Intranasal Antrostomy
상악동비내수술-내시경하에서 실시한 경우,Intranasal Antrostomy -Under Endoscopy
상악동후비공용종적출술,Operation for Antrochoanal Polyp
상악동후비공용종적출술-내시경하에서 실시한 경우,Operation for Antrochoanal Polyp -Under Endoscopy
사골동비내수술,Intranasal Ethmoidectomy
사골동비내수술-내시경하에서 실시한 경우,Intranasal Ethmoidectomy -Under Endoscopy
접형골동비내수술,Intranasal Sphenoidectomy
접형골동비내수술-내시경하에서 실시한 경우,Intranasal Sphenoidectomy -Under Endoscopy
전부비강근본수술,Radical Operation of Pansinusitis
전부비강근본수술-내시경하에서 실시한 경우,Radical Operation of Pansinusitis -Under Endoscopy
상악동사골동근본수술,Radical Operation of Maxillary And Ethmoid Sinus
상악동사골동근본수술-내시경하에서 실시한 경우,Radical Operation of Maxillary And Ethmoid Sinus -Under Endoscopy
상악동사골동접형골동근본수술,"Radical Operation of Maxillary, Ethmoid And Sphenoid Sinus"
상악동사골동접형골동근본수술-내시경하에서 실시한 경우,"Radical Operation of Maxillary, Ethmoid And Sphenoid Sinus -Under Endoscopy"
상악동사골동접형골동근본수술-내시경하에서 실시한 경우-복잡,"Radical Operation of Maxillary, Ethmoid And Sphenoid Sinus -Under Endoscopy- complex"
전두동사골동근본수술,Radical Operation of Frontal And Ethmoid Sinus
전두동사골동근본수술-내시경하에서 실시한 경우,Radical Operation of Frontal And Ethmoid Sinus -Under Endoscopy
전두동사골동근본수술-내시경하에서 실시한 경우-복잡,Radical Operation of Frontal And Ethmoid Sinus -Under Endoscopy- complex
전두동사골동접형골동근본수술,"Radical Operation of Frontal, Ethmoid And Sphenoid Sinus"
전두동사골동접형골동근본수술-내시경하에서 실시한 경우,"Radical Operation of Frontal, Ethmoid And Sphenoid Sinus -Under Endoscopy"
전두동사골동접형골동근본수술-내시경하에서 실시한 경우-복잡,"Radical Operation of Frontal, Ethmoid And Sphenoid Sinus -Under Endoscopy- complex"
"전두동,사골동,상악동근본수술","Radical Operation of Frontal, Ethmoid And Maxillary Sinus"
"전두동,사골동,상악동근본수술-내시경하에서 실시한 경우","Radical Operation of Frontal, Ethmoid And Maxillary Sinus -Under Endoscopy"
"전두동,사골동,상악동근본수술-내시경하에서 실시한 경우-복잡","Radical Operation of Frontal, Ethmoid And Maxillary Sinus -Under Endoscopy- complex"
사골동접형골동수술,Ethmoidectomy And Sphenoidectomy
사골동접형골동수술-내시경하에서 실시한 경우,Ethmoidectomy And Sphenoidectomy -Under Endoscopy
사골동접형골동수술-내시경하에서 실시한 경우-복잡,Ethmoidectomy And Sphenoidectomy -Under Endoscopy- complex
인공성대 삽입술-초회 시술시,Insertion of Voice Prosthesis- Initial surgical procedure
인공성대 삽입술-교환 시,Insertion of Voice Prosthesis- exchange
폐쐐기절제술(2~3개),Wedge Resection of Lung(2~3 parts)
폐쐐기절제술(4~5개),Wedge Resection of Lung(4~5 parts)
폐쐐기절제술(6개이상),Wedge Resection of Lung(more than 6 parts)
동맥간우회로조성술(대동맥-관동맥간)[자가혈관채취료포함]-단순(3개소),Vascular Bypass Operation(Aorta-Coronary)[including Autologous Vessel Graft]-Simple(3 sites)
동맥간우회로조성술(대동맥-관동맥간)[자가혈관채취료포함]-단순(4개소이상),Vascular Bypass Operation(Aorta-Coronary)[including Autologous Vessel Graft]-Simple(more than 4 sites)
중심정맥내카테터유치술(컷다운법),Placement of Central Venous Catheter(Cut Down Method)
중심정맥내카테터유치술(컷다운방법에의한동맥삽관술),Placement of Central Venous Catheter(arterial cannulation by Cut Down Method)
부분체외순환,Partial Extracorporeal Circulation
부분체외순환10시간초과익일부터[1일당],Partial Extracorporeal Circulation- over 10 hours from the next day [per day]
부분체외순환-ECMO 사용,Partial Extracorporeal Circulation- Using ECMO
부분체외순환10시간초과익일부터[1일당]-ECMO 사용,Partial Extracorporeal Circulation- over 10 hours from the next day [per day]- Using ECMO
부분체외순환-ILA Membrane Ventilator 사용,Partial Extracorporeal Circulation- Using ILA Membrane Ventilator
부분체외순환10시간초과익일부터[1일당]-ILA Membrane Ventilator 사용,Partial Extracorporeal Circulation- over 10 hours from the next day [per day]- Using ILA Membrane Ventilator
대동맥내풍선펌프,Intraaortic Balloon Pump
대동맥내풍선펌프-10시간초과익일부터[1일당],Intraaortic Balloon Pump- over 10 hours from the next day [per day]
일산화질소 흡입-12시간까지,Nitric Oxide Inhalation- up to 12 hours
일산화질소 흡입-12시간 초과 30분당,Nitric Oxide Inhalation- over 12 hours per 30 minutes
혈관결찰술(기타),Vessel Ligation (Others)
혈관결찰술(기타)-혈관결찰술 및 혈관봉합술의 간단한 것,Vessel Ligation (Others)- Simple things of Vessel Ligation and angiorrhaphy 
"혈액투석을위한정맥내카테터삽입술-쇄골하,내경정맥-컷다운법","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- Cut Down Method"
"혈액투석용정맥내카테터삽입술-쇄골하,내경정맥-터널식,피하매몰정맥포트법(방사선투시하)","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- Tunnel, Subcutaneous Implantation Method(with Fluoroscopy)"
"혈액투석용정맥내카테터삽입술-쇄골하,내경정맥-터널식,피하매몰정맥포트법(혈관조영술하)","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- Tunnel, Subcutaneous Implantation Method(with Angiography)"
"혈액투석용정맥내카테터삽입술-쇄골하,내경정맥-터널식,피하매몰정맥포트법(방사선하에서하지않은경우)","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- Tunnel, Subcutaneous Implantation Method(without under radiation)"
"혈액투석용정맥내카테터삽입술-쇄골하,내경정맥-기타[비터널식카테터삽입](방사선투시하)","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- others[non-tunnel catheter insertion](with Fluoroscopy)"
"혈액투석용정맥내카테터삽입술-쇄골하,내경정맥-기타[비터널식카테터삽입](혈관조영술하)","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- others[non-tunnel catheter insertion](with Angiography)"
"혈액투석용정맥내카테터삽입술-쇄골하,내경정맥-기타[비터널식카테터삽입](방사선하에서하지않은경우)","Intravenous Catheterization for Hemodialysis- subclavian, internal jugular vein- others[non-tunnel catheter insertion](without under radiation)"
지속적정정맥혈액투석-카테터삽입당일[카테터삽입료포함],Continuous Venovenous Hemodialysis- the day of catheterization [including catheter insertion fee]
지속적정정맥혈액투석-카테터삽입익일부터[1일당],Continuous Venovenous Hemodialysis- After the next day of catheterization (per day)
지속적동정맥혈액투석-카테터삽입당일[카테터삽입료포함],Continuous Venovenous Hemodialysis- the day of catheterization [including catheter insertion fee]
지속적동정맥혈액투석-카테터삽입익일부터[1일당],Continuous Venovenous Hemodialysis- After the next day of catheterization (per day)
지속적정정맥혈액여과-카테터삽입당일[카테터삽입료포함],Continuous Venovenous Hemofiltraion- the day of catheterization [including catheter insertion fee]
지속적정정맥혈액여과-카테터삽입익일부터[1일당],Continuous Venovenous Hemofiltraion- After the next day of catheterization (per day)
지속적동정맥혈액여과-카테터삽입당일[카테터삽입료포함],Continuous Venovenous Hemofiltraion- the day of catheterization [including catheter insertion fee]
지속적동정맥혈액여과-카테터삽입익일부터[1일당],Continuous Venovenous Hemofiltraion- After the next day of catheterization (per day)
폴리믹신 B 고정화 섬유를 이용한 혈액관류요법-카테터삽입 당일 [카테터 삽입료 포함],Hemoperfusion with an Immobilized Polymyxin B Fiber Column- the day of catheterization [including catheter insertion fee]
폴리믹신 B 고정화 섬유를 이용한 혈액관류요법-익일부터 [1회당],Hemoperfusion with an Immobilized Polymyxin B Fiber Column- After the next day[per 1time]
"무인공심폐관상동맥우회로술(대동맥-관동맥간)-단순,3개소","Off Pump CABG (Aorta-Coronary)- simple, 3 sites"
"무인공심폐관상동맥우회로술(대동맥-관동맥간)-단순,4개소이상","Off Pump CABG (Aorta-Coronary)- simple, more than 4 sites"
경부림프절청소술-양측,Neck Lymphatic Dissection-Bilateral
경부림프절청소술-양측-산정지침(6)에서 정한 수술과 동시에 양측 경부림프절청소술 시행,Neck Lymphatic Dissection-Bilateral- surgery specified in determining guide(6) and Bilateral Neck Lymphatic Dissection Simultaneous operation
액와감시림프절절제술,Axillary Sentinel Lymph Node Excision
액와감시림프절절제술(방사선검출기를이용한경우),Axillary Sentinel Lymph Node Excision(using radiation detector)
위아전절제술(원위부절제)-림프절 청소를 포함하는 것,Subtotal Gastrectomy(Distal)- with Lymphatic Dissection
위아전절제술(원위부절제)-림프절 청소를 포함하지 않는 것,Subtotal Gastrectomy(Distal)- without Lymphatic Dissection
위아전절제술(유문부보존)-림프절 청소를 포함하는 것,Subtotal Gastrectomy(Pylous Preserving)- with Lymphatic Dissection
위아전절제술(유문부보존)-림프절 청소를 포함하지 않는 것,Subtotal Gastrectomy(Pylous Preserving)- without Lymphatic Dissection
위아전절제술(설상절제)-림프절 청소를 포함하는 것,Subtotal Gastrectomy(Wedge Resection)- with Lymphatic Dissection
위아전절제술(설상절제)-림프절 청소를 포함하지 않는 것,Subtotal Gastrectomy(Wedge Resection)- without Lymphatic Dissection
결장절제술(아전절제[우반및좌반결장동시절제또는좌반및에스상결장동시절제)-림프절청소포함,Colectomy (Subtotal [simultaneous resection of the right and left colon or left and S colon])- with Lymphatic Dissection
결장절제술(아전절제[우반및좌반결장동시절제또는좌반및에스상결장동시절제)-림프절청소포함하지않는것,Colectomy (Subtotal [[simultaneous resection of the right and left colon or left and S colon])- without Lymphatic Dissection
설단순절제술[거설증등]-1/2미만,Simple Excision of Tongue[macroglossia etc.]- 1/2 below
설단순절제술[거설증등]-1/2이상,Simple Excision of Tongue[macroglossia etc.]- more than 1/2
수면중무호흡증후군수술(구개인두성형술)-복잡,Operation of Sleep Apnea Syndrome (Palatopharyngoplasty)- complex
수면중무호흡증후군수술(구개인두성형술),Operation of Sleep Apnea Syndrome (Palatopharyngoplasty)
구강내종양적출술(양성)-구강저 병소제거,Removal of Tumor In Oral Cavity (Benign)- mouth floor lesion removal
구강내종양적출술(유두종등을간단하게제거)-구강저 병소제거,Removal of Tumor In Oral Cavity (Simply removal of papilloma etc.)- mouth floor lesion removal
